,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
38357,HCM,20231109,20.1463,20.7021,20.0074,20.1463,8145100
38964,HCM,20231108,18.7569,20.0074,18.6874,20.0074,7072500
39565,HCM,20231107,18.9653,19.2432,18.7222,18.7222,4494700
40173,HCM,20231106,18.9653,19.139,18.8264,19.0348,3628400
40734,HCM,20231103,19.139,19.1737,18.5832,18.7569,5563400
41297,HCM,20231102,18.4096,19.2432,18.3053,19.0348,6023400
41872,HCM,20231101,17.0202,18.0969,16.8465,18.0622,5611600
42433,HCM,20231031,18.2706,18.2706,16.8812,16.9507,7250700
42983,HCM,20231030,18.8264,19.1737,18.0622,18.0622,2921300
43515,HCM,20231027,18.9653,19.3821,18.3401,19.1043,4307800
44073,HCM,20231026,19.4516,19.4863,18.5485,18.618,12013500
44639,HCM,20231025,20.5284,20.6326,19.9032,19.9379,3306200
45198,HCM,20231024,20.1116,20.5979,20.1116,20.4937,3709700
45757,HCM,20231023,20.0768,20.4937,19.8337,20.1116,4350000
46311,HCM,20231020,18.8584,20.0739,18.7542,20.0768,6817500
46865,HCM,20231019,19.4488,19.5877,18.7542,18.7916,4017100
47412,HCM,20231018,19.8684,20.1463,18.2011,19.4516,8071900
47966,HCM,20231017,21.1158,21.359,19.4835,19.4863,2896800
48517,HCM,20231016,21.6715,21.7757,20.9422,20.9452,4658300
49074,HCM,20231013,21.6052,21.9525,21.2231,21.8136,3969800
49621,HCM,20231012,21.8136,22.2999,21.6746,21.8831,5449800
50170,HCM,20231011,20.9769,21.6368,20.8727,21.6399,4229600
50732,HCM,20231010,21.3937,21.5326,20.838,20.9799,3502200
51288,HCM,20231009,20.7368,21.1884,20.5979,21.1884,3182600
51851,HCM,20231006,20.1463,20.7368,19.7642,20.7368,4049600
52399,HCM,20231005,20.8063,21.0147,20.1463,20.1463,3238300
52946,HCM,20231004,20.0074,21.2578,19.8684,20.6326,5671500
53488,HCM,20231003,21.3273,21.362,20.1463,20.1463,8448900
54045,HCM,20231002,21.1189,21.7094,21.1189,21.6052,3579300
54595,HCM,20230929,21.7094,21.8831,20.9799,21.2231,4029900
55151,HCM,20230928,21.8136,21.8831,21.2578,21.4315,4609900
55712,HCM,20230927,21.1884,21.8831,20.8063,21.8831,5809200
56280,HCM,20230926,20.5979,21.7788,20.5631,20.841,6857700
