,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
409179,HCM,20200925,10.0436,10.0436,9.7768,9.8027,2270870
409628,HCM,20200924,9.9951,10.0679,9.8496,10.0453,2973870
410040,HCM,20200923,9.9951,10.0922,9.9709,10.0453,2029360
410526,HCM,20200922,9.9466,10.0194,9.8738,9.9725,2972730
410978,HCM,20200921,10.1164,10.1649,9.9951,9.9968,2944900
411383,HCM,20200918,9.8496,10.0679,9.801,10.0453,3192360
411862,HCM,20200917,9.801,9.8981,9.7283,9.8512,2531730
412258,HCM,20200916,9.6555,9.8253,9.6555,9.827,2838120
412738,HCM,20200915,9.607,9.8981,9.5584,9.6814,5506040
413150,HCM,20200914,9.6797,9.6797,9.5342,9.5601,2752720
413567,HCM,20200911,9.607,9.704,9.5342,9.6086,2587790
414023,HCM,20200910,9.6555,9.7768,9.5099,9.6328,4806310
414516,HCM,20200909,9.3401,9.6312,9.3158,9.5601,3809110
414932,HCM,20200908,9.3158,9.5099,9.2431,9.5115,3111560
415428,HCM,20200907,9.5584,9.6797,9.2916,9.2931,4312720
415840,HCM,20200904,9.0247,9.607,9.0247,9.463,6278360
416304,HCM,20200903,9.2673,9.2673,9.1218,9.2204,3563000
416678,HCM,20200901,9.0005,9.1703,8.9519,9.1233,1845750
417170,HCM,20200831,9.1703,9.2916,8.9277,9.002,3625910
417567,HCM,20200828,9.2188,9.3401,9.146,9.1476,5826520
418022,HCM,20200827,9.0247,9.0975,8.9762,9.099,1739420
418482,HCM,20200826,8.9277,9.146,8.9277,9.0262,3359280
418879,HCM,20200825,9.0247,9.049,8.9034,8.9049,2309910
419361,HCM,20200824,8.8549,9.0732,8.8306,8.9292,3679900
419788,HCM,20200821,8.5638,8.8064,8.5153,8.7593,2740380
420312,HCM,20200820,8.588,8.6366,8.5153,8.541,1528750
420667,HCM,20200819,8.588,8.6608,8.5153,8.638,1276800
421100,HCM,20200818,8.5395,8.6608,8.491,8.541,1155580
421519,HCM,20200817,8.588,8.6608,8.4667,8.5895,1484170
421976,HCM,20200814,8.7821,8.8549,8.5638,8.6865,2412500
422372,HCM,20200813,8.6851,8.9034,8.6608,8.8321,3243130
422833,HCM,20200812,8.6608,8.7336,8.5395,8.6138,1145990
423258,HCM,20200811,8.491,8.7093,8.4182,8.6623,3043010
423690,HCM,20200810,8.4182,8.5395,8.3697,8.4196,2761400
424111,HCM,20200807,8.3697,8.4182,8.2484,8.3226,1424950
424490,HCM,20200806,8.4182,8.491,8.2969,8.3711,1445140
424938,HCM,20200805,8.3212,8.5395,8.2727,8.4439,1917140
425339,HCM,20200804,8.394,8.4425,8.2241,8.3711,2533470
425771,HCM,20200803,7.9573,8.3454,7.9573,8.3226,1928640
426149,HCM,20200731,7.8117,8.1028,7.8117,8.0072,864240
426556,HCM,20200730,8.0543,8.1514,7.9088,8.0557,2314760
427024,HCM,20200729,8.2484,8.2484,7.7632,8.0314,2914560
427403,HCM,20200728,7.8117,8.3212,7.8117,8.3226,2625840
427816,HCM,20200727,8.0058,8.2484,7.7875,7.7888,3533390
428207,HCM,20200724,8.8306,8.8792,8.2969,8.3711,3541100
428650,HCM,20200723,8.9762,9.0005,8.8306,8.9049,1125480
429078,HCM,20200722,9.1703,9.1703,8.9034,8.9777,1223120
429488,HCM,20200721,9.2188,9.2673,8.9277,9.099,2501800
429835,HCM,20200720,9.1218,9.4129,9.1218,9.1233,1847310
430245,HCM,20200717,9.3158,9.4614,9.2673,9.3659,1658460
430656,HCM,20200716,9.3401,9.4129,9.2673,9.3174,785130
431090,HCM,20200715,9.5584,9.5827,9.2916,9.3417,1659160
431496,HCM,20200714,9.2431,9.5099,9.1703,9.463,2123340
431919,HCM,20200713,9.4371,9.4857,9.1703,9.2931,1807570
432334,HCM,20200710,9.2673,9.5342,9.2673,9.3902,1964850
432783,HCM,20200709,9.3644,9.4371,9.3158,9.3659,1821580
433165,HCM,20200708,9.0324,9.1962,8.9856,9.1963,1700880
433643,HCM,20200707,9.2196,9.2664,9.0324,9.0325,1985400
433965,HCM,20200706,9.0324,9.1728,8.9622,9.1261,1209080
434447,HCM,20200703,8.9622,9.009,8.892,8.8921,1274600
434843,HCM,20200702,9.009,9.009,8.8452,8.9155,1047190
435214,HCM,20200701,8.6814,8.9622,8.6112,8.9155,1165560
435642,HCM,20200630,8.775,8.8218,8.424,8.5879,1523160
436053,HCM,20200629,8.8452,8.9388,8.424,8.5879,2580940
436374,HCM,20200626,9.2196,9.3132,8.8686,8.9623,2478030
436796,HCM,20200625,9.0558,9.243,9.0324,9.1495,1699180
437231,HCM,20200624,9.5472,9.594,9.126,9.2197,2609100
437619,HCM,20200623,9.1728,9.711,9.126,9.5473,5211610
438096,HCM,20200622,9.1494,9.1494,8.9622,9.0793,1844190
438458,HCM,20200619,8.7048,9.1026,8.6814,9.0793,2400720
438839,HCM,20200618,8.6346,8.775,8.5644,8.6815,1217300
439293,HCM,20200617,8.7984,8.892,8.5878,8.7751,1528300
439619,HCM,20200616,8.658,8.8218,8.541,8.7751,2267080
440041,HCM,20200615,9.0558,9.0792,8.4006,8.4007,4474570
440445,HCM,20200612,8.5176,9.009,8.4708,9.0091,3271120
440858,HCM,20200611,9.6408,9.7344,9.009,9.0091,4995600
441246,HCM,20200610,9.594,9.7812,9.4302,9.6643,2715300
441671,HCM,20200609,9.7812,9.8046,9.594,9.6877,2486940
442127,HCM,20200608,9.6408,9.7812,9.5004,9.7111,3135420
442507,HCM,20200605,9.2196,9.4536,9.1494,9.3601,2859450
442901,HCM,20200604,9.1962,9.477,9.1728,9.2197,5172520
443321,HCM,20200603,9.009,9.0558,8.8686,9.0091,1098170
443708,HCM,20200602,9.2664,9.2664,8.8686,8.9155,2017890
444077,HCM,20200601,8.892,9.126,8.8452,9.1261,1595610
444542,HCM,20200529,8.775,8.8686,8.7282,8.7985,1708650
444904,HCM,20200528,8.8686,8.9622,8.7516,8.8453,2219910
445353,HCM,20200527,9.3366,9.36,8.7516,8.7985,4015960
445656,HCM,20200526,9.009,9.3366,8.9154,9.2899,4065930
446157,HCM,20200525,8.658,8.892,8.658,8.8921,2273240
446568,HCM,20200522,8.6112,8.9622,8.5878,8.6581,2920160
446959,HCM,20200521,8.7282,8.7516,8.6112,8.6581,1771400
447355,HCM,20200520,8.7048,8.7984,8.5878,8.6581,2395000
447742,HCM,20200519,8.9856,9.0558,8.7282,8.7517,2867180
448183,HCM,20200518,8.5176,8.775,8.4708,8.7517,1832790
448573,HCM,20200515,8.7048,8.8686,8.541,8.6113,2433850
448967,HCM,20200514,8.3304,8.9856,8.2368,8.6815,3674570
449361,HCM,20200513,8.3304,8.6112,8.2134,8.4241,3081060
449749,HCM,20200512,8.4708,8.5878,8.2836,8.4709,2317490
450191,HCM,20200511,8.5176,8.541,8.1432,8.5177,3185780
450599,HCM,20200508,7.956,8.3772,7.9326,8.0731,4270560
450951,HCM,20200507,7.6284,7.9326,7.5816,7.9093,1966780
451341,HCM,20200506,7.5348,7.6752,7.488,7.6753,1493960
451759,HCM,20200505,7.3944,7.6752,7.254,7.4413,1106130
451935,HCM,20200504,7.5816,7.5816,7.254,7.2541,2091820
452528,HCM,20200429,7.722,7.8858,7.6518,7.7221,1808300
452894,HCM,20200428,7.956,7.956,7.7688,7.8625,933630
453226,HCM,20200427,8.1198,8.1432,7.9092,7.9561,1103270
453698,HCM,20200424,7.8624,8.0496,7.7454,8.0263,1855260
454060,HCM,20200423,8.0964,8.1432,7.839,7.9093,1890290
454468,HCM,20200422,7.1136,7.839,7.0434,7.8391,2276520
454838,HCM,20200421,7.6284,7.722,7.1838,7.3477,2396620
455213,HCM,20200420,8.0028,8.0028,7.5348,7.6987,2668660
455628,HCM,20200417,7.8624,8.0496,7.7688,7.8625,2730130
455984,HCM,20200416,7.5582,7.8858,7.488,7.6987,1526390
456410,HCM,20200415,7.488,7.7688,7.488,7.6753,1736130
456810,HCM,20200414,7.254,7.4412,7.0434,7.4413,1792950
457212,HCM,20200413,7.1604,7.3008,7.0668,7.2541,2063380
457621,HCM,20200410,7.0668,7.254,6.903,7.2307,2697120
458031,HCM,20200409,7.02,7.4178,7.02,7.2073,2295490
458430,HCM,20200408,6.552,7.0902,6.4584,7.0903,2609070
458808,HCM,20200407,6.7392,6.7626,6.4116,6.7393,5721480
459224,HCM,20200406,6.2712,6.3414,6.201,6.3415,1861080
459628,HCM,20200403,5.9436,5.9436,5.8032,5.9437,1646440
459971,HCM,20200401,5.2884,5.5692,5.2416,5.5693,1466530
460384,HCM,20200331,5.5458,5.616,5.0544,5.2183,1326110
460832,HCM,20200330,5.4288,5.5692,5.382,5.3821,1729030
461252,HCM,20200327,5.9904,5.9904,5.7564,5.7799,1477790
461604,HCM,20200326,6.084,6.2478,5.9436,5.9437,1642900
462040,HCM,20200325,6.1308,6.2712,5.9202,6.2479,1778260
462415,HCM,20200324,6.1776,6.2712,5.85,5.8735,1872520
462834,HCM,20200323,6.2244,6.318,6.084,6.0841,1029330
463231,HCM,20200320,6.6924,6.7158,6.5052,6.5287,1791480
463588,HCM,20200319,6.2244,6.786,6.2244,6.5287,1586780
463831,HCM,20200318,6.6924,6.786,6.435,6.4585,1195960
464405,HCM,20200317,6.5754,6.5754,5.8734,6.5755,1381030
464792,HCM,20200316,6.3648,6.5988,6.1074,6.1543,1060990
465201,HCM,20200313,6.1776,6.6222,6.1776,6.5521,1921230
465638,HCM,20200312,6.669,6.6924,6.6222,6.6223,1792810
465948,HCM,20200311,7.7454,7.7688,7.1136,7.1137,1583400
466293,HCM,20200310,7.5816,7.8858,7.371,7.6285,1576420
466647,HCM,20200309,7.9092,8.0028,7.9092,7.9093,1248740
467072,HCM,20200306,8.424,8.5878,8.2836,8.4943,764600
467411,HCM,20200305,8.3304,8.7048,8.3304,8.4943,1648110
467813,HCM,20200304,8.0028,8.3538,8.0028,8.3071,1404620
468229,HCM,20200303,8.2368,8.2368,8.0964,8.0965,1035920
468597,HCM,20200302,8.1432,8.2368,8.0496,8.0497,1198060
469008,HCM,20200228,8.0496,8.19,7.956,8.0263,990930
469396,HCM,20200227,8.0028,8.3304,8.0028,8.3305,886890
469808,HCM,20200226,7.9092,8.2134,7.9092,8.0029,891910
470167,HCM,20200225,7.839,8.2836,7.839,8.2369,1288010
470530,HCM,20200224,8.5644,8.6112,8.2134,8.2135,2619500
470945,HCM,20200221,8.8452,9.009,8.7984,8.8219,888380
471362,HCM,20200220,8.9856,9.0324,8.7984,8.8453,1521590
471775,HCM,20200219,8.8452,8.9154,8.7984,8.8219,869070
472172,HCM,20200218,9.009,9.0792,8.8218,8.8687,1220280
472558,HCM,20200217,8.9856,9.2898,8.892,8.8921,1457530
472922,HCM,20200214,8.775,8.9856,8.7282,8.9857,1669180
473321,HCM,20200213,8.8452,8.8686,8.7048,8.7751,847930
473709,HCM,20200212,8.7048,8.9856,8.6814,8.8687,1461010
474049,HCM,20200211,8.658,8.6814,8.5644,8.6347,1244840
474468,HCM,20200210,8.6112,8.7516,8.5176,8.5879,1016710
474818,HCM,20200207,8.8452,9.0558,8.7282,8.7985,1583730
475189,HCM,20200206,8.6814,8.9622,8.6346,8.8453,1827860
475570,HCM,20200205,8.658,8.7516,8.4708,8.5645,1540270
475974,HCM,20200204,8.892,8.892,8.424,8.4475,1047760
476315,HCM,20200203,8.7282,8.9856,8.4006,8.7283,1599650
476720,HCM,20200131,9.5004,9.7344,9.009,9.0091,2066250
477099,HCM,20200130,10.1556,10.1556,9.6642,9.6643,3212570
477396,HCM,20200122,10.296,10.3896,10.2258,10.3897,809310
477814,HCM,20200121,10.0854,10.3896,10.062,10.2727,899530
478085,HCM,20200120,10.0386,10.1322,10.0386,10.1089,369830
478476,HCM,20200117,10.2258,10.3428,10.1088,10.1089,693850
478756,HCM,20200116,9.9918,10.2258,9.8982,10.2259,1613670
479130,HCM,20200115,10.0386,10.062,9.8982,9.8983,566550
479453,HCM,20200114,9.9918,10.0854,9.9684,10.0387,539270
479818,HCM,20200113,9.8514,10.062,9.828,10.0387,1409220
480145,HCM,20200110,9.711,9.9216,9.6408,9.8281,1298430
480541,HCM,20200109,9.711,9.7578,9.594,9.7111,569210
480861,HCM,20200108,9.7578,9.7578,9.4536,9.6175,1126900
481255,HCM,20200107,9.7812,9.8748,9.711,9.8281,470270
481593,HCM,20200106,9.8748,9.8982,9.711,9.7579,1065060
481951,HCM,20200103,10.1088,10.179,9.9216,9.9217,630820
482374,HCM,20200102,10.0386,10.1556,9.9918,10.0621,654880
482689,HCM,20191231,9.7812,10.0386,9.7812,9.9919,448010
483081,HCM,20191230,10.0152,10.179,9.7812,9.8047,508340
483417,HCM,20191227,9.711,10.0152,9.6876,10.0153,690170
483812,HCM,20191226,9.7812,9.8046,9.6876,9.7345,359760
484158,HCM,20191225,9.6876,9.8514,9.6642,9.7813,313660
484505,HCM,20191224,9.6174,9.7578,9.5472,9.7345,347180
484878,HCM,20191223,9.594,9.8046,9.5472,9.5473,587780
485221,HCM,20191220,9.9684,9.9684,9.4536,9.5707,1150230
485609,HCM,20191219,10.296,10.3896,9.9684,9.9685,975160
485926,HCM,20191218,10.4287,10.4973,10.1543,10.156,678970
486239,HCM,20191217,10.5888,10.6346,10.383,10.4304,465730
486692,HCM,20191216,10.383,10.6117,10.383,10.5906,455490
487034,HCM,20191213,10.6117,10.6803,10.4287,10.4533,655650
487410,HCM,20191212,10.5202,10.6117,10.4516,10.4762,833370
487771,HCM,20191211,10.5202,10.5888,10.383,10.3847,789350
488082,HCM,20191210,10.7946,10.8404,10.4287,10.4304,1201410
488455,HCM,20191209,10.909,11.0462,10.8175,10.8193,698230
488815,HCM,20191206,10.9547,11.0462,10.8861,10.9337,396390
489214,HCM,20191205,11.0462,11.092,10.8861,10.8879,929300
489587,HCM,20191204,10.6117,11.0462,10.5659,11.048,1057000
489932,HCM,20191203,10.5431,10.7946,10.4973,10.6134,696370
490295,HCM,20191202,10.7946,10.8175,10.5888,10.6134,794530
490640,HCM,20191129,10.7489,10.7489,10.5659,10.7049,605650
490991,HCM,20191128,10.9319,10.9319,10.6346,10.6363,1262140
491302,HCM,20191127,11.0691,11.092,10.909,10.9337,685240
491705,HCM,20191126,10.9776,11.1148,10.9319,10.9794,536300
492100,HCM,20191125,10.9776,11.1148,10.726,10.8879,658720
492465,HCM,20191122,11.3435,11.435,10.8861,10.9794,1271640
492796,HCM,20191121,11.1606,11.4579,11.1606,11.3454,1101100
493164,HCM,20191120,11.252,11.4121,11.2063,11.2539,490550
493552,HCM,20191119,11.1148,11.3207,11.1148,11.2768,717160
493923,HCM,20191118,11.435,11.5722,10.9776,11.0709,2084130
494259,HCM,20191115,11.5036,11.618,11.435,11.4369,846120
494635,HCM,20191114,11.8467,11.8467,11.5036,11.597,907940
495152,HCM,20191113,11.7094,11.8238,11.7094,11.8029,1648840
495375,HCM,20191112,11.435,11.7323,11.435,11.6885,1342250
495712,HCM,20191111,11.6408,11.6866,11.435,11.4369,1523180
496098,HCM,20191108,11.7552,11.8467,11.5951,11.6885,1544650
496446,HCM,20191107,11.3207,11.6866,11.2749,11.5741,1788990
496980,HCM,20191106,11.252,11.5265,11.2292,11.3225,1576880
497335,HCM,20191105,11.3207,11.5265,11.2292,11.3454,1646860
497560,HCM,20191104,10.9776,11.5265,10.9776,11.3225,3167200
497917,HCM,20191101,10.4059,10.9547,10.383,10.9337,2045910
498329,HCM,20191031,10.6346,10.6574,10.4287,10.4304,396140
498666,HCM,20191030,10.4516,10.6803,10.4287,10.5906,609730
499057,HCM,20191029,10.5202,10.6574,10.4287,10.4533,581330
499392,HCM,20191028,10.5888,10.6803,10.4287,10.5906,1011550
499729,HCM,20191025,10.2915,10.6117,10.2686,10.4991,1293320
500126,HCM,20191024,10.1314,10.3372,10.1085,10.2932,792830
500492,HCM,20191023,10.1085,10.2,10.1085,10.1331,484650
500802,HCM,20191022,10.1543,10.2229,10.0857,10.1102,606710
501140,HCM,20191021,10.1314,10.2458,10.0857,10.156,1039870
501498,HCM,20191018,10.5202,10.6117,10.2458,10.2932,690310
501817,HCM,20191017,10.6117,10.6117,10.4745,10.4991,485490
502167,HCM,20191016,10.7718,10.7718,10.6346,10.6821,576870
502543,HCM,20191015,10.7489,10.7718,10.6346,10.6592,467280
502905,HCM,20191014,10.6117,10.8633,10.5888,10.7507,1161500
503229,HCM,20191011,10.4287,10.4516,10.3372,10.4076,449740
503587,HCM,20191010,10.4059,10.5659,10.3372,10.3618,608290
503915,HCM,20191009,10.4287,10.5202,10.3372,10.4304,560380
504222,HCM,20191008,10.2686,10.6117,10.2458,10.4304,894560
504618,HCM,20191007,10.726,10.7946,10.2229,10.2475,1372570
504941,HCM,20191004,11.2063,11.2292,10.6117,10.6134,1958070
505313,HCM,20191003,10.9776,11.2063,10.909,11.1853,1266360
505648,HCM,20191002,11.2978,11.3893,11.1606,11.1853,1074480
506007,HCM,20191001,11.0691,11.3207,11.0691,11.3225,932710
506334,HCM,20190930,11.3435,11.3893,11.0691,11.1167,1171700
506680,HCM,20190927,11.3435,11.435,11.1606,11.1853,1469290
507090,HCM,20190926,10.8404,11.3893,10.8404,11.3454,2373910
507355,HCM,20190925,10.7489,10.8175,10.6803,10.8193,597950
507695,HCM,20190924,10.7489,10.8404,10.6574,10.7964,772220
508080,HCM,20190923,10.7032,11.0233,10.6117,10.6592,1938490
508379,HCM,20190920,10.7489,10.8404,10.7032,10.7049,783970
508723,HCM,20190919,10.5888,10.8633,10.5888,10.7964,1321040
509117,HCM,20190918,10.7032,10.8861,10.5888,10.6592,1719950
509465,HCM,20190917,10.2915,10.8633,10.2458,10.7964,2311530
509785,HCM,20190916,9.8341,10.5431,10.1543,10.3618,1741690
510123,HCM,20190913,9.8341,10.1772,9.7198,10.1331,1641050
510497,HCM,20190912,9.7884,9.8798,9.674,9.8357,671520
510773,HCM,20190911,9.7426,9.8341,9.6054,9.6527,421390
511103,HCM,20190910,9.6054,9.9027,9.5139,9.7442,1535940
511498,HCM,20190909,9.6511,9.7655,9.5597,9.5612,461650
511788,HCM,20190906,9.6511,9.7655,9.6054,9.6985,631210
512156,HCM,20190905,9.7198,9.8341,9.6511,9.6527,840630
512418,HCM,20190904,9.5139,9.7655,9.3538,9.6527,852210
512763,HCM,20190903,9.5139,9.5825,9.4453,9.4469,457540
513113,HCM,20190830,9.2852,9.6511,9.2852,9.5841,828600
513450,HCM,20190829,9.3081,9.331,9.1937,9.241,514260
513790,HCM,20190828,9.3767,9.3996,9.1937,9.1953,708480
514132,HCM,20190827,9.6054,9.7426,9.331,9.3554,933340
514473,HCM,20190826,9.5368,9.6054,9.4453,9.5155,1243510
514819,HCM,20190823,9.857,9.9942,9.6969,9.7442,681610
515162,HCM,20190822,10.0628,10.1314,9.857,9.9501,1533030
515508,HCM,20190821,9.6054,9.9256,9.5597,9.8129,1681980
515849,HCM,20190820,9.7884,9.8798,9.6283,9.6299,983570
516194,HCM,20190819,9.8341,9.9256,9.674,9.7214,1455370
516535,HCM,20190816,8.965,9.5597,8.965,9.5612,2859490
516881,HCM,20190815,8.7592,8.9879,8.7592,8.9437,621640
517224,HCM,20190814,9.0565,9.1251,8.965,9.058,565210
517568,HCM,20190813,9.0794,9.1023,8.9193,8.9665,914070
517908,HCM,20190812,9.2395,9.331,9.0108,9.1953,549250
518248,HCM,20190809,9.3538,9.4911,9.2395,9.241,938650
518588,HCM,20190808,8.9193,9.331,8.8507,9.2639,1206220
518931,HCM,20190807,9.148,9.3767,8.8736,8.9665,951570
519264,HCM,20190806,9.148,9.1937,8.965,9.1495,1331160
519606,HCM,20190805,9.6283,9.6283,9.3081,9.3554,818930
519948,HCM,20190802,9.6969,9.6969,9.5139,9.6299,793330
520286,HCM,20190801,9.7655,9.8798,9.6969,9.7442,393140
520615,HCM,20190731,9.7426,9.8341,9.6054,9.7671,561610
520961,HCM,20190730,9.8112,10.0399,9.7426,9.7442,441010
521300,HCM,20190729,9.9027,9.9485,9.7426,9.7671,374710
521639,HCM,20190726,10.1772,10.2458,9.8798,9.9501,970680
521989,HCM,20190725,10.2,10.3372,10.1314,10.1788,768310
522334,HCM,20190724,10.5202,10.5431,10.2,10.2246,975560
522672,HCM,20190723,10.4287,10.5659,10.4287,10.5219,614710
523018,HCM,20190722,10.6574,10.6803,10.383,10.4533,1320690
523356,HCM,20190719,10.8175,10.9319,10.7718,10.7736,875690
523696,HCM,20190718,10.9319,10.9547,10.7718,10.8193,428710
524028,HCM,20190717,10.6574,11.0233,10.6574,10.9337,1272270
524369,HCM,20190716,10.7489,10.8404,10.6117,10.6363,1543350
524704,HCM,20190715,10.9776,11.0233,10.8633,10.9108,372590
525040,HCM,20190712,10.9776,11.1606,10.909,10.9108,713700
525374,HCM,20190711,10.9319,11.0233,10.8861,10.9108,629220
525711,HCM,20190710,10.9776,11.1148,10.7946,10.8422,665430
526042,HCM,20190709,11.092,11.092,10.9319,11.0023,573170
526371,HCM,20190708,11.2063,11.2978,10.9319,11.0938,383720
526708,HCM,20190705,11.3207,11.435,11.252,11.2539,584790
527045,HCM,20190704,10.8633,11.1834,10.8404,11.1624,937160
527383,HCM,20190703,10.8633,10.9547,10.7489,10.8422,306390
527712,HCM,20190702,10.8633,10.9776,10.8404,10.8651,262430
528045,HCM,20190701,10.8861,10.909,10.8175,10.8879,257320
528383,HCM,20190628,10.6803,10.7032,10.4973,10.6821,260870
528709,HCM,20190627,10.5659,10.7718,10.5659,10.5677,242760
529033,HCM,20190626,10.909,10.9319,10.7489,10.7507,183530
529348,HCM,20190625,10.9776,10.9776,10.8633,10.8879,246710
529664,HCM,20190624,10.9776,11.2063,10.8861,11.0252,484720
529991,HCM,20190621,10.8861,11.1606,10.8404,10.9794,531540
530314,HCM,20190620,10.4516,10.8175,10.4059,10.8193,481230
530645,HCM,20190619,10.4516,10.6574,10.4059,10.4533,247640
530971,HCM,20190618,10.383,10.5202,10.2915,10.4076,270310
531297,HCM,20190617,10.7032,10.7032,10.383,10.4533,189500
531628,HCM,20190614,10.5659,10.7489,10.5431,10.5677,158890
531945,HCM,20190613,10.6117,10.7032,10.4745,10.6363,215290
532262,HCM,20190612,10.7718,10.8404,10.6117,10.7278,175320
532588,HCM,20190611,10.8404,10.8404,10.6803,10.7736,204070
532914,HCM,20190610,10.7946,10.8861,10.7718,10.8193,260670
533232,HCM,20190607,10.5202,10.6574,10.5202,10.6363,255920
533555,HCM,20190606,10.6117,10.7032,10.3372,10.4533,338920
533878,HCM,20190605,10.7489,10.8404,10.5431,10.6592,180460
534205,HCM,20190604,10.6574,10.8404,10.4516,10.5448,388480
534532,HCM,20190603,10.9319,10.9776,10.6117,10.6134,468220
534855,HCM,20190531,11.4121,11.4121,11.1606,11.1624,266260
535179,HCM,20190530,11.3435,11.4807,11.252,11.3683,250120
535504,HCM,20190529,11.2292,11.435,11.1834,11.3683,207560
535828,HCM,20190528,11.252,11.3893,11.1377,11.231,400850
536158,HCM,20190527,11.435,11.5265,11.092,11.231,513630
536487,HCM,20190524,11.5494,11.6637,11.3893,11.4369,484260
536810,HCM,20190523,11.5722,11.7323,11.5494,11.6428,328960
537134,HCM,20190522,11.6637,11.8924,11.6637,11.6656,712170
537452,HCM,20190521,11.9381,11.9839,11.6866,11.6885,725060
537772,HCM,20190520,11.446,11.5949,11.3396,11.5973,502060
538098,HCM,20190517,11.5098,11.5523,11.2758,11.3632,727260
538420,HCM,20190516,11.7013,11.7225,11.5098,11.5122,297440
538741,HCM,20190515,11.5736,11.7013,11.5311,11.6186,936420
539068,HCM,20190514,11.2758,11.5736,11.1907,11.4909,594410
539387,HCM,20190513,11.2758,11.4672,11.1907,11.4696,635380
539711,HCM,20190510,11.1907,11.2119,10.9779,11.193,485760
540028,HCM,20190509,11.2758,11.3821,11.0205,11.0653,625090
540346,HCM,20190508,10.6375,11.2332,10.6375,11.2356,628110
540663,HCM,20190507,10.8503,10.9354,10.6801,10.8951,420760
540988,HCM,20190506,10.6375,10.6801,10.5099,10.6397,630990
541309,HCM,20190503,10.5524,10.9141,10.446,10.7674,527190
541635,HCM,20190502,10.829,10.9566,10.5524,10.5546,408240
541957,HCM,20190426,10.8077,10.9354,10.7439,10.8313,363410
542272,HCM,20190425,11.0205,11.0205,10.7226,10.81,410940
542592,HCM,20190424,10.3822,11.063,10.3822,11.0228,542300
542911,HCM,20190423,10.3397,10.5524,10.2971,10.3418,580110
543228,HCM,20190422,10.6375,10.7226,10.3397,10.3418,842970
543551,HCM,20190419,10.9992,11.1907,10.8928,10.8951,529700
543877,HCM,20190418,11.063,11.3396,10.9992,11.0228,672110
544196,HCM,20190417,11.5311,11.5736,11.3396,11.342,260350
544515,HCM,20190416,11.5311,11.5311,11.297,11.4696,490400
544840,HCM,20190412,11.7013,11.8927,11.5736,11.576,675750
545157,HCM,20190411,11.9353,11.9991,11.7438,11.7888,586250
545477,HCM,20190410,11.9991,12.0842,11.8715,11.9378,388050
545796,HCM,20190409,12.0417,12.3821,11.9991,12.0867,1251210
546128,HCM,20190408,11.7864,12.0204,11.7013,12.0016,691920
546450,HCM,20190405,11.8715,11.914,11.7013,11.7463,620730
546774,HCM,20190404,11.8289,11.9991,11.7225,11.7463,576620
547097,HCM,20190403,11.7013,11.9778,11.7013,11.7463,468060
547423,HCM,20190402,12.1268,12.1693,11.8289,11.8314,554090
547752,HCM,20190401,12.1268,12.1268,11.8715,11.9165,618600
548080,HCM,20190329,12.2331,12.2544,11.9991,12.0016,420940
548404,HCM,20190328,11.914,12.2331,11.914,12.1719,263670
548730,HCM,20190327,12.2331,12.3182,12.1055,12.1931,203860
549053,HCM,20190326,12.0842,12.297,11.9991,12.1719,287160
549376,HCM,20190325,11.9566,12.1693,11.7438,11.9165,597270
549701,HCM,20190322,12.5523,12.5948,12.297,12.4059,543490
550028,HCM,20190321,13.0203,13.0629,12.3395,12.3421,594230
550359,HCM,20190320,12.765,13.0203,12.4246,12.9379,479070
550687,HCM,20190319,13.2331,13.4033,12.9778,12.9805,524750
551020,HCM,20190318,13.1054,13.382,13.1054,13.2358,611460
551346,HCM,20190315,13.148,13.148,12.9352,13.1082,366350
551673,HCM,20190314,13.2756,13.3607,13.1054,13.1507,632930
552003,HCM,20190313,12.6374,13.3182,12.6374,13.1933,1855620
552330,HCM,20190312,12.5097,12.5097,12.3182,12.4698,443870
552657,HCM,20190311,12.4246,12.4459,12.297,12.3421,200630
552981,HCM,20190308,12.3395,12.5523,12.3395,12.3421,457250
553306,HCM,20190307,12.5735,12.9139,12.5523,12.7251,480840
553640,HCM,20190306,12.4672,12.5948,12.2119,12.5549,380950
553967,HCM,20190305,12.5523,12.7225,12.3395,12.3847,560790
554302,HCM,20190304,12.5097,12.7225,12.4672,12.5549,637340
554633,HCM,20190301,12.5523,12.6374,12.297,12.5123,421460
554962,HCM,20190228,12.7863,12.9352,12.1268,12.1293,959090
555286,HCM,20190227,13.148,13.1692,12.9352,12.9379,427530
555614,HCM,20190226,12.8714,13.1692,12.765,13.023,1072420
555941,HCM,20190225,11.9353,12.7225,11.9353,12.7251,980960
556269,HCM,20190222,12.0417,12.1693,11.8076,11.9165,428680
556589,HCM,20190221,12.2544,12.2544,11.8289,12.1293,1172040
556911,HCM,20190220,11.6162,11.6162,11.5736,11.6186,434950
557228,HCM,20190219,11.2476,11.2476,10.8583,10.8596,665060
557546,HCM,20190218,11.1178,11.1395,11.0097,11.1192,473100
557865,HCM,20190215,10.815,11.1178,10.7285,11.0327,439900
558180,HCM,20190214,10.988,11.0313,10.815,10.9029,340940
558500,HCM,20190213,11.2043,11.2476,10.988,11.0543,610580
558821,HCM,20190212,10.5771,11.0313,10.4473,10.9894,715100
559137,HCM,20190211,9.9498,10.3824,9.9174,10.3837,501210
